20160101_avg_rad,20160201_avg_rad,20160301_avg_rad,20160401_avg_rad,20160501_avg_rad,20160601_avg_rad,20160701_avg_rad,20160801_avg_rad,20160901_avg_rad,20161001_avg_rad,20161101_avg_rad,20161201_avg_rad,20170101_avg_rad,20170201_avg_rad,20170301_avg_rad,20170401_avg_rad,20170501_avg_rad,20170601_avg_rad,20170701_avg_rad,20170801_avg_rad,20170901_avg_rad,20171001_avg_rad,20171101_avg_rad,20171201_avg_rad,Shape_Leng,ADM1_CODE,STATUS,ADM0_NAME,ADM0_CODE,EXP1_YEAR,Shape_Area,system:index,ADM1_NAME,STR1_YEAR,DISP_AREA
0.35139199621024886,0.5181921419753784,0.20175290713431066,0.48544121321292844,0.546611655955436,0.28661427945259144,0.18390070377416537,0.1687205978412565,0.2660116091087602,0.40018281980652026,0.5271744304269163,0.2418963978631647,0.436494259646362,0.4459968918419077,0.6261301424351248,0.6567909816141584,0.5651501882247499,0.3252479250966431,0.39730487612642945,0.3699287547319545,0.5376340141304603,1.1404091399290588,0.54042694725775,0.5784892375052132,4.19898421789,65698,Member State,Nigeria,182,3000,0.385485043496,000000000000000002c9,Abia,1997,NO
0.012210077710538296,0.06697563056204973,0.026475665974339698,0.07827911832077576,0.1401144666604346,-0.008487806036507088,-0.004837745966512166,-0.006946288515758534,-0.008893385720274144,0.013293471042215803,-0.009334694033342987,-0.032317991957489314,0.1126424800190621,0.22053695146985217,0.34991371680298666,0.3459571079849241,0.24213588753476767,0.18116801739680435,0.14262014710698176,0.16031314799559715,0.2972078717214284,0.39075039807201856,0.24365124240397498,0.18371481008345525,12.9033223619,65699,Member State,Nigeria,182,3000,4.05567911843,000000000000000002ce,Bauchi,1997,NO
2.9159466992574634,2.9052734343697995,2.7938809768002395,3.8143674230103435,2.101023414858604,0.9977358791444648,3.3927071003807945,2.4128103274786055,2.7836152842793,3.159400524012707,3.435919428437869,2.237571761659655,2.292057054406561,3.025633637930288,3.52831401535471,2.6837138041316804,3.801948051973328,3.65211058152052,1.7946817551797953,3.0444116592135413,2.2390468883048733,4.527099830317156,3.7953343800972053,3.043213905424835,8.485512574,65700,Member State,Nigeria,182,3000,0.81446427481,000000000000000002cf,Bayelsa,1997,NO
0.015303629477094386,0.10507775650303046,0.02002494543941681,0.09830992317759493,0.16579332573791336,0.14272412029217144,-0.022469514613034952,0.035028014534800686,0.04305311650588101,0.10956015177469514,-0.0010089177483967144,0.011534120830132746,0.14711520819430612,0.2774185805737733,0.4206626670977856,0.5513663841012544,0.2901718728097862,0.1664775172335552,0.20725767996086664,0.21714440042788,0.2832537295476324,0.5123570767964456,0.30008374617523426,0.246072357420669,4.03151148475,65701,Member State,Nigeria,182,3000,0.505730985479,000000000000000002d4,Ebonyi,1997,NO
0.042208821435486654,0.1361349283455407,0.04694871647135736,0.15118159570716383,0.17276585037681547,0.15941348998353463,0.039523209703190725,0.022378518139443995,0.04005962879711589,0.11325364052604385,0.03093117383630789,-0.022417566887454367,0.1041800439980006,0.2681470305071089,0.37646239628815903,0.4649960626966755,0.266370182676592,0.17116295745231483,0.22305280975465233,0.20097244613837958,0.33461553036478847,0.5145729178878813,0.2699590979190957,0.2442203654099487,3.19866345806,65702,Member State,Nigeria,182,3000,0.429199664438,000000000000000002d6,Ekiti,1997,NO
0.3305356556577906,0.3600361298153888,0.12991164803861524,0.3180240471992133,0.34009470538567965,0.2222852756631056,0.1472411866856407,0.1563120072286207,0.22400707556008298,0.2940527087488392,0.13088545845832567,0.3289442752568877,0.44555969931597456,0.4516811239427911,0.4718143658620427,0.5618170884772125,0.36912541206617705,0.23258776130567022,0.21049469928090467,0.2588308749096921,0.34700093003329,0.5528487732917562,0.37653509206414953,0.38993441254953753,4.11849127183,65703,Member State,Nigeria,182,3000,0.629750886128,000000000000000002d7,Enugu,1997,NO
0.03186427237345697,0.07573672680848173,0.03218261115463012,0.08182724313042555,0.15864787057458077,0.003028079561181743,0.04470756299364891,0.04043992361496934,0.027143870108869397,0.04381866098091079,0.033039992727692015,-0.040465115677659196,0.10014046753262823,0.2388608306355366,0.37947094304739587,0.3723522521210153,0.26281956236197773,0.22203555755977317,0.15016797480031707,0.1933524165801696,0.2894423070076017,0.39015569043537074,0.24701479162275658,0.22597702778985201,5.5214963038,65704,Member State,Nigeria,182,3000,1.50190765338,000000000000000002d8,Gombe,1997,NO
0.06972975859801848,0.08271458510406558,0.033019420504520405,0.13318607156220125,0.1577985103047887,0.0658061119326264,0.0203633083112163,0.008952937780610445,0.027567377230869383,0.06694172252440975,0.009905894116427201,-0.008055155470797286,0.12546873728220873,0.24513227039112015,0.3811685220233709,0.3800251187103117,0.26441047594534345,0.16647006347399712,0.18461686233293426,0.14214262771613523,0.2984144305412179,0.4838682164946595,0.23263030915192717,0.20713633749373073,9.15082569712,65705,Member State,Nigeria,182,3000,2.16195303304,000000000000000002e2,Nassarawa,1997,NO
-0.007852100536929706,0.07596766693994726,0.03375175953134114,0.1994058819988424,0.15705604498803466,0.12651305103047106,0.03192845688449372,0.014540013677375563,0.07120261193968962,0.11203190204263082,-0.002479675461888026,-0.0468410548692424,0.07090128284460719,0.2587826027983318,0.40303413871329286,0.43588445465689835,0.27762773869890617,0.20735649458436578,0.23406958279518494,0.18581791164360875,0.34187599955387127,0.5131623111031053,0.2812636766693952,0.21086399577365852,8.10456632034,65706,Member State,Nigeria,182,3000,1.18391373079,000000000000000002e5,Ondo,1997,NO
0.32256128068826845,0.13055233435279687,0.028255513421741537,0.09399263861590285,0.1451484064057777,0.013376012844712796,0.02039418976740076,0.0068676663759976615,0.046916071495444404,0.025832409927299398,0.004505420223795784,0.020279049677092608,0.18018567526113033,0.2963592251029829,0.40310227177431895,0.3730016195727662,0.27108386435256465,0.18049121862796724,0.17151208018641828,0.15206567488809195,0.30354683443816866,0.45594644131724166,0.2469846063637827,0.239094191670464,7.88650094133,65707,Member State,Nigeria,182,3000,2.26914236472,000000000000000002e8,Plateau,1997,NO
