20160101_avg_rad,20160201_avg_rad,20160301_avg_rad,20160401_avg_rad,20160501_avg_rad,20160601_avg_rad,20160701_avg_rad,20160801_avg_rad,20160901_avg_rad,20161001_avg_rad,20161101_avg_rad,20161201_avg_rad,20170101_avg_rad,20170201_avg_rad,20170301_avg_rad,20170401_avg_rad,20170501_avg_rad,20170601_avg_rad,20170701_avg_rad,20170801_avg_rad,20170901_avg_rad,20171001_avg_rad,20171101_avg_rad,20171201_avg_rad,ADM1_CODE,ADM2_NAME,EXP2_YEAR,ADM1_NAME,DISP_AREA,Shape_Leng,STATUS,STR2_YEAR,ADM0_NAME,ADM0_CODE,Shape_Area,ADM2_CODE,system:index
-0.06971166680809962,-0.013041504755229232,-0.03944669469777938,0.03201162729751823,0.11640964965046047,0.05323391170320302,0.016756145586909785,0.005887619038066216,0.00851445099359404,0.05583954022073876,-2.2981415630467974E-4,-0.10626627919043453,0.0304306412784601,0.1426673304434635,0.2803445680483906,0.27767256131962403,0.2874011507484652,0.21765931749523765,0.13997613174211976,0.15545950133537603,0.25119316819770293,0.3919365864326429,0.21594662178619076,0.11935766169679572,65709,Tangaza,3000,Sokoto,NO,1.91522609994,Member State,1999,Nigeria,182,0.20339917993,190949,000000000000000021f5
-0.0946861543930155,-0.0320522233570255,-0.016209267485764584,0.06871854287949823,0.1241287645779465,0.01871106405605419,0.015224608651238637,-0.029821709175172118,0.02925557163756853,0.05538399773364783,0.01774900596109983,-0.06970172337011651,0.03916561294396961,0.1423273663893881,0.2680490315588359,0.3348617562019595,0.2549607815246877,0.18282556098226935,0.134994144021057,0.13986944775728977,0.23334145216313787,0.3530906540952264,0.18368516968951465,0.1530861895855981,2216,Abadam,3000,Borno,NO,2.80850736058,Member State,1999,Nigeria,182,0.204833031465,190950,000000000000000021f6
-0.10114723262200054,-0.03522260658848338,-0.039651610474200474,0.0423088766597346,0.11191563199848364,3.089389857865026E-4,0.0178618739844533,-0.0037486879173016813,0.016209439785776127,0.47907300201528197,0.04088876506476044,-0.04783879967456302,0.029176653582940446,0.19095535853679782,0.24755439075868782,0.3298606141696614,0.26575549608598237,0.17199584371289883,0.19918881713978726,0.14839300706927164,0.35935375653685725,0.8933170423587244,0.1861279875168751,0.14452606508138588,2216,Lake chad,3000,Borno,NO,4.54367732264,Member State,1999,Nigeria,182,0.439860435751,190951,000000000000000021f7
-0.08093824118188589,-0.014119952670017498,-0.011740182252553114,0.043818787761521344,0.12875001578525552,0.016395290075776288,-0.002641116610359895,-0.011446260658491275,0.025789854222107354,0.047552056719822114,-0.011561863534703133,-0.09716938410414376,0.04399401070540713,0.15015362408915486,0.27589082619827554,0.3236636434604362,0.2627914073343903,0.21090642303670848,0.14511616093623633,0.16391842467229656,0.2531973628521041,0.3820815575922419,0.20153104153169743,0.1454382356948123,2240,Yusufari,3000,Yobe,NO,3.40997669714,Member State,1999,Nigeria,182,0.356411277927,190952,000000000000000021fc
-0.055070813013772243,0.033161176222313724,0.008181175673680137,0.07656787439678897,0.09946148693665716,0.03581978262723517,0.06531758557217815,-0.06615901974401218,0.009051866324255113,0.1170655553981265,-0.0035246342800214843,-0.07127938531479885,0.08681410172099005,0.20222818046547425,0.3316812144323009,0.31442340546565717,0.2869398594082418,0.2207475276025677,0.1456770310645376,0.17953741028187434,0.24874523088797365,0.41971965414359474,0.26904088528181425,0.2227554660503754,2226,Mashi,3000,Katsina,NO,1.28933640266,Member State,1999,Nigeria,182,0.0756563356609,190953,00000000000000002200
-0.09780200792760518,-0.04149009123542989,-0.036134080624086254,0.05965101927495989,0.13874769181334928,0.02548456847424607,0.0037104456230682053,-0.01983380212188922,0.04438908667090861,0.3205910950345889,0.021447127182257858,-0.07975984129620187,0.029137234284345198,0.15110863212564998,0.2699168002768382,0.331729730984311,0.25377593248045477,0.17159541273472897,0.12066019810420607,0.15088340591963,0.244132867928067,0.42240396586876394,0.18493396363784423,0.14437074645757772,2216,Kukawa,3000,Borno,NO,2.48847784755,Member State,1999,Nigeria,182,0.173196060962,190954,00000000000000002201
-0.02159502647424594,0.11283102757043462,0.019385172522748063,0.08946103641523513,0.11548456836768266,0.03591736074696234,0.12005437820674661,-0.0013793334310670962,0.05560107683372394,0.1568361580030794,0.04177060775362448,-0.007619689855968042,0.14855606944629207,0.3058886662098806,0.3684351484811055,0.3307197193578424,0.3128593419897773,0.26907168414365606,0.20408837715053726,0.24165671424690796,0.2626455143282326,0.5320622348141374,0.36608823948684166,0.3461724579752039,2226,Mai'Adua,3000,Katsina,NO,1.11967767985,Member State,1999,Nigeria,182,0.0479000599683,190955,00000000000000002202
-0.07408135905728112,-0.008729435521072405,-0.0258854541351861,0.05620770230489712,0.1263368775845731,0.007689531443048443,0.008775143404723816,-0.0014787303497687013,0.020699735137928922,0.05313729794617195,-0.02932511547473799,-0.09370301288092259,0.03467435315773366,0.1523588493480447,0.27337694711089994,0.3081703232134673,0.25716588503015886,0.19860428109330763,0.13450260683145598,0.15214471216072972,0.2755236273983259,0.39987113435467253,0.20858905862353058,0.14806272102195406,2240,Machina,3000,Yobe,NO,1.63769263127,Member State,1999,Nigeria,182,0.10323701309,190956,00000000000000002205
-0.0936232535354339,-0.03836415199924726,-0.024574758942954855,0.06817875453973848,0.13171691567939808,0.029553277480400486,-0.025525709877784755,-0.01576786464970507,0.020458158246326474,0.052696218929070206,-0.004494287197583437,-0.07213389282497647,0.03991763556188034,0.15237593636488653,0.27290748497013123,0.3408660454330924,0.25416276582945274,0.18480371956424965,0.11883155688838834,0.15433088657641406,0.23848206647591988,0.43427370186053094,0.27394397548908694,0.1521432022406354,2216,Guzamala,3000,Borno,NO,2.23134557365,Member State,1999,Nigeria,182,0.191902611138,190958,0000000000000000220a
-0.023190640610805693,0.036836174063221164,-0.014884274958950568,0.028275642835873173,0.1267162114376063,0.06636841345369021,0.04927609705430984,0.012425922867061106,0.049755130774345055,0.07218816470627533,0.017842902854403524,-0.05591208708402703,0.07110541356506621,0.20118670732123448,0.3257677231331674,0.2808624161740429,0.3372161248393433,0.25430675847518885,0.1692344456855899,0.17072404567735838,0.2530571258449756,0.4420885762431322,0.24363769205414015,0.16847189427683623,2227,Augie,3000,Kebbi,NO,1.62242707145,Member State,1999,Nigeria,182,0.126097418842,190959,0000000000000000220b
